first_name,last_name,location,email,credit_history,income,debt,age,gender,default
Maurice,Hansen,Port Melissa,lewisadam@example.net,0.12935113621866795,42004.50442925657,6567.554625795201,33.082665520003644,F,0
Allison,Walker,East Soniaberg,jocelyn21@example.net,1.3533091185195054,38702.060209377916,13241.896161291235,34.36006360209831,F,0
Philip,Ramos,Michaelchester,tina72@example.net,1.5528040354669639,46746.015070822374,11480.052073865732,36.339175901262905,F,1
Suzanne,Perry,Hernandezville,norma49@example.org,-0.6201925639595479,40799.68169049538,9105.18181799748,23.46638637344116,M,0
Scott,Nelson,New Jeffreyfort,thomasanderson@example.net,-0.4651700836248537,46394.32644795312,9379.625473788787,32.103298402406715,M,0
Allison,Callahan,North Maryshire,maria25@example.net,0.7606528809356339,68365.02844164448,7320.312781900928,33.63665442124359,F,0
Marcus,Mann,Lake Craig,bradleyford@example.com,0.13091109387242159,34086.3545266757,16029.455488273774,28.927915099589743,M,0
Michele,Orr,Christophershire,davidmiles@example.org,-0.2388085881786671,52340.95535440202,12622.468478327284,25.555783106476014,F,0
Tina,Castillo,South Catherinetown,elizabeth42@example.net,1.2189018229190023,59449.00124319047,4000.787157317969,38.3459730262253,M,1
Monica,Mccoy,Justinbury,donald68@example.com,-1.0907224017355106,58811.6037957461,8365.189063945738,27.0697406435292,M,0
Gary,Lopez,Bellhaven,chancatherine@example.org,0.24035149566674968,30033.27040128299,9021.125880747242,34.368764262159075,F,1
Mike,Johns,Tinamouth,robertskathy@example.org,-1.3621788632641971,45189.590271541965,5029.112840619559,24.764323246300087,M,0
Leah,Floyd,Port Vincentshire,scott73@example.com,-1.0796778294749847,68180.54004463478,5296.619793361364,35.70512306627663,M,0
Robert,Rodriguez,Port Donna,ericmolina@example.com,0.6818956719823719,49442.83482270702,7071.50448309203,33.60011738925974,F,0
Kimberly,Petty,Steventown,christinavaughn@example.net,0.5104800984220834,60131.21776161188,8448.065812453426,25.04726202901338,F,1
Kathryn,Walters,Saraburgh,ariel83@example.com,0.6420664873778964,56192.50039577359,10178.318506238284,23.23861740400517,F,0
Marie,Melton,Lake Michelleshire,sharon96@example.com,-0.6737026799892653,36075.46494448336,5892.802878235739,24.89560267031175,F,0
